  lat     long      exx        eyy        exy      var(exx)   var(eyy)   var(exy)  cc_xx_yy  cc_xx_xy  cc_yy_xy
-65.750  179.700 -0.690E+02  0.537E+02  0.183E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.750 -179.700 -0.160E+03  0.278E+03 -0.175E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.750 -179.100 -0.387E+03  0.595E+03 -0.681E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.750 -178.500 -0.341E-12  0.710E+03 -0.308E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.750 -177.900  0.173E+03  0.632E+03 -0.403E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.750 -177.300  0.697E+02  0.439E+03 -0.241E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.750 -176.700  0.716E+02  0.374E+03 -0.193E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.750 -176.100  0.285E+02  0.357E+03 -0.162E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.750 -175.500  0.741E+01  0.341E+03 -0.164E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.750 -174.900  0.583E+02  0.276E+03 -0.169E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.750 -174.300  0.243E+03  0.755E+02 -0.119E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.250  177.900 -0.676E+02  0.656E+02  0.198E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.250  178.500 -0.106E+03  0.240E+03 -0.386E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.250  179.100 -0.142E+03  0.411E+03 -0.780E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.250  179.700 -0.424E+03  0.537E+03 -0.889E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.250 -179.700 -0.330E+03  0.421E+03  0.848E+01  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.250 -179.100 -0.141E+03  0.115E+03  0.629E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.250 -177.900  0.240E+03  0.785E+02 -0.122E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.250 -177.300  0.565E+02  0.272E+03 -0.173E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-65.250 -176.700  0.825E+01  0.337E+03 -0.170E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
